date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:23:35	18214/18214	---MC-	302	error ('Found')	text/html	date:Sun,%2030%20Jul%202023%2007:23:35%20GMT	https://www.gropia.net/magaza	C:/My%20Web%20Sites/AndreNetwork/www.gropia.net/magaza	(from https://www.gropia.net/)
10:23:35	53552/53552	---MCZ	200	added ('OK')	text/html	date:Sun,%2030%20Jul%202023%2007:23:35%20GMT	https://www.gropia.net/magaza/emekskyblock/1	C:/My%20Web%20Sites/AndreNetwork/www.gropia.net/magaza/emekskyblock/1.html	(from https://www.gropia.net/)
10:23:36	58183/58183	---MCZ	200	added ('OK')	text/html	date:Sun,%2030%20Jul%202023%2007:23:36%20GMT	https://www.gropia.net/yardim-merkezi	C:/My%20Web%20Sites/AndreNetwork/www.gropia.net/yardim-merkezi.html	(from https://www.gropia.net/)
10:23:36	17576/17576	---MC-	302	error ('Found')	text/html	date:Sun,%2030%20Jul%202023%2007:23:36%20GMT	https://www.gropia.net/destek	C:/My%20Web%20Sites/AndreNetwork/www.gropia.net/destek	(from https://www.gropia.net/)
10:23:37	49692/49692	---MCZ	200	added ('OK')	text/html	date:Sun,%2030%20Jul%202023%2007:23:36%20GMT	https://www.gropia.net/login?return=/destek	C:/My%20Web%20Sites/AndreNetwork/www.gropia.net/login8c7d.html	(from https://www.gropia.net/)
10:23:37	44621/44621	---MCZ	200	added ('OK')	text/html	date:Sun,%2030%20Jul%202023%2007:23:37%20GMT	https://www.gropia.net/banned	C:/My%20Web%20Sites/AndreNetwork/www.gropia.net/banned.html	(from https://www.gropia.net/)
10:23:37	47153/47153	---MCZ	200	added ('OK')	text/html	date:Sun,%2030%20Jul%202023%2007:23:37%20GMT	https://www.gropia.net/kurallar	C:/My%20Web%20Sites/AndreNetwork/www.gropia.net/kurallar.html	(from https://www.gropia.net/)
10:23:38	49318/49318	---MCZ	200	added ('OK')	text/html	date:Sun,%2030%20Jul%202023%2007:23:37%20GMT	https://www.gropia.net/giris-yap	C:/My%20Web%20Sites/AndreNetwork/www.gropia.net/giris-yap.html	(from https://www.gropia.net/)
10:23:38	49802/49802	---MCZ	200	added ('OK')	text/html	date:Sun,%2030%20Jul%202023%2007:23:38%20GMT	https://www.gropia.net/kayit-ol	C:/My%20Web%20Sites/AndreNetwork/www.gropia.net/kayit-ol.html	(from https://www.gropia.net/)
10:23:38	708/708	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2030%20Jul%202023%2007:23:38%20GMT	https://www.gropia.net/haberler	C:/My%20Web%20Sites/AndreNetwork/www.gropia.net/haberler	(from https://www.gropia.net/)
10:23:38	153229/153229	---M--	200	added ('OK')	image/jpeg	date:Sun,%2016%20Jul%202023%2016:18:40%20GMT	https://www.gropia.net/assets/uploads/images/landing/images/default/m4L5P8a10N10D7.jpg	C:/My%20Web%20Sites/AndreNetwork/www.gropia.net/assets/uploads/images/landing/images/default/m4L5P8a10N10D7.jpg	(from https://www.gropia.net/)
10:23:39	17090/17090	---M--	200	added ('OK')	image/png	etag:%2262e6abe5-42c2%22	https://www.minexon.net/assets/images/fav-ico.png	C:/My%20Web%20Sites/AndreNetwork/www.minexon.net/assets/images/fav-ico.png	(from https://www.gropia.net/)
10:23:39	17674/17674	---MC-	302	error ('Found')	text/html	date:Sun,%2030%20Jul%202023%2007:23:39%20GMT	https://www.gropia.net/profil	C:/My%20Web%20Sites/AndreNetwork/www.gropia.net/profil	(from https://www.gropia.net/)
10:23:39	49692/49692	---MCZ	200	added ('OK')	text/html	date:Sun,%2030%20Jul%202023%2007:23:39%20GMT	https://www.gropia.net/login?return=/profil	C:/My%20Web%20Sites/AndreNetwork/www.gropia.net/login3e96.html	(from https://www.gropia.net/)
10:23:40	17674/17674	---MC-	302	error ('Found')	text/html	date:Sun,%2030%20Jul%202023%2007:23:40%20GMT	https://www.gropia.net/profil/mesajlar	C:/My%20Web%20Sites/AndreNetwork/www.gropia.net/profil/mesajlar	(from https://www.gropia.net/)
10:23:40	49998/49998	---MCZ	200	added ('OK')	text/html	date:Sun,%2030%20Jul%202023%2007:23:40%20GMT	https://www.gropia.net/login?return=/profil/mesajlar	C:/My%20Web%20Sites/AndreNetwork/www.gropia.net/loginf762.html	(from https://www.gropia.net/)
10:23:41	17562/17562	---MC-	302	error ('Found')	text/html	date:Sun,%2030%20Jul%202023%2007:23:40%20GMT	https://www.gropia.net/sepet	C:/My%20Web%20Sites/AndreNetwork/www.gropia.net/sepet	(from https://www.gropia.net/)
10:23:41	49658/49658	---MCZ	200	added ('OK')	text/html	date:Sun,%2030%20Jul%202023%2007:23:41%20GMT	https://www.gropia.net/login?return=/sepet	C:/My%20Web%20Sites/AndreNetwork/www.gropia.net/login9a1a.html	(from https://www.gropia.net/)
10:23:41	17566/17566	---MC-	302	error ('Found')	text/html	date:Sun,%2030%20Jul%202023%2007:23:41%20GMT	https://www.gropia.net/sandik	C:/My%20Web%20Sites/AndreNetwork/www.gropia.net/sandik	(from https://www.gropia.net/)
10:23:42	49692/49692	---MCZ	200	added ('OK')	text/html	date:Sun,%2030%20Jul%202023%2007:23:41%20GMT	https://www.gropia.net/login?return=/sandik	C:/My%20Web%20Sites/AndreNetwork/www.gropia.net/login1f63.html	(from https://www.gropia.net/)
10:23:42	17568/17568	---MC-	302	error ('Found')	text/html	date:Sun,%2030%20Jul%202023%2007:23:42%20GMT	https://www.gropia.net/envanter	C:/My%20Web%20Sites/AndreNetwork/www.gropia.net/envanter	(from https://www.gropia.net/)
10:23:42	49760/49760	---MCZ	200	added ('OK')	text/html	date:Sun,%2030%20Jul%202023%2007:23:42%20GMT	https://www.gropia.net/login?return=/envanter	C:/My%20Web%20Sites/AndreNetwork/www.gropia.net/login73c2.html	(from https://www.gropia.net/)
10:23:42	17578/17578	---MC-	302	error ('Found')	text/html	date:Sun,%2030%20Jul%202023%2007:23:42%20GMT	https://www.gropia.net/hediye-kuponu	C:/My%20Web%20Sites/AndreNetwork/www.gropia.net/hediye-kuponu	(from https://www.gropia.net/)
10:23:43	49930/49930	---MCZ	200	added ('OK')	text/html	date:Sun,%2030%20Jul%202023%2007:23:43%20GMT	https://www.gropia.net/login?return=/hediye-kuponu	C:/My%20Web%20Sites/AndreNetwork/www.gropia.net/loginaacf.html	(from https://www.gropia.net/)
10:23:47	17578/17578	---MC-	302	error ('Found')	text/html	date:Sun,%2030%20Jul%202023%2007:23:46%20GMT	https://www.gropia.net/cikis-yap	C:/My%20Web%20Sites/AndreNetwork/www.gropia.net/cikis-yap	(from https://www.gropia.net/)
10:23:47	49794/49794	---MCZ	200	added ('OK')	text/html	date:Sun,%2030%20Jul%202023%2007:23:47%20GMT	https://www.gropia.net/login?return=/cikis-yap	C:/My%20Web%20Sites/AndreNetwork/www.gropia.net/login44d3.html	(from https://www.gropia.net/)
10:23:47	1698/1698	---M--	200	added ('OK')	image/png	date:Sun,%2016%20Jul%202023%2016:18:40%20GMT	https://www.gropia.net/assets/uploads/images/landing/images/default/dirt.png	C:/My%20Web%20Sites/AndreNetwork/www.gropia.net/assets/uploads/images/landing/images/default/dirt.png	(from https://www.gropia.net/)
10:23:48	0/0	---MC-	302	error ('Found')	text/html	date:Sun,%2030%20Jul%202023%2007:23:47%20GMT	https://www.gropia.net/main/index.php?language=tr&ref=/	C:/My%20Web%20Sites/AndreNetwork/www.gropia.net/main/index8ad3.php	(from https://www.gropia.net/)
10:23:48	0/0	---MC-	302	error ('Found')	text/html	date:Sun,%2030%20Jul%202023%2007:23:48%20GMT	https://www.gropia.net/main/index.php?language=en&ref=/	C:/My%20Web%20Sites/AndreNetwork/www.gropia.net/main/index18b4.php	(from https://www.gropia.net/)
10:23:48	0/0	---MC-	302	error ('Found')	text/html	date:Sun,%2030%20Jul%202023%2007:23:48%20GMT	https://www.gropia.net/main/index.php?language=de&ref=/	C:/My%20Web%20Sites/AndreNetwork/www.gropia.net/main/index5e42.php	(from https://www.gropia.net/)
10:23:49	0/0	---MC-	302	error ('Found')	text/html	date:Sun,%2030%20Jul%202023%2007:23:49%20GMT	https://www.gropia.net/main/index.php?language=fr&ref=/	C:/My%20Web%20Sites/AndreNetwork/www.gropia.net/main/indexdf55.php	(from https://www.gropia.net/)
10:23:49	0/0	---MC-	302	error ('Found')	text/html	date:Sun,%2030%20Jul%202023%2007:23:49%20GMT	https://www.gropia.net/main/index.php?language=bg&ref=/	C:/My%20Web%20Sites/AndreNetwork/www.gropia.net/main/indexdc70.php	(from https://www.gropia.net/)
10:23:50	0/0	---MC-	302	error ('Found')	text/html	date:Sun,%2030%20Jul%202023%2007:23:50%20GMT	https://www.gropia.net/main/index.php?language=cn&ref=/	C:/My%20Web%20Sites/AndreNetwork/www.gropia.net/main/index93cb.php	(from https://www.gropia.net/)
10:23:50	0/0	---MC-	302	error ('Found')	text/html	date:Sun,%2030%20Jul%202023%2007:23:50%20GMT	https://www.gropia.net/main/index.php?language=cs&ref=/	C:/My%20Web%20Sites/AndreNetwork/www.gropia.net/main/index0da0.php	(from https://www.gropia.net/)
10:23:51	0/0	---MC-	302	error ('Found')	text/html	date:Sun,%2030%20Jul%202023%2007:23:51%20GMT	https://www.gropia.net/main/index.php?language=da&ref=/	C:/My%20Web%20Sites/AndreNetwork/www.gropia.net/main/index2c39.php	(from https://www.gropia.net/)
10:23:51	0/0	---MC-	302	error ('Found')	text/html	date:Sun,%2030%20Jul%202023%2007:23:51%20GMT	https://www.gropia.net/main/index.php?language=el&ref=/	C:/My%20Web%20Sites/AndreNetwork/www.gropia.net/main/index5839.php	(from https://www.gropia.net/)
10:23:52	0/0	---MC-	302	error ('Found')	text/html	date:Sun,%2030%20Jul%202023%2007:23:51%20GMT	https://www.gropia.net/main/index.php?language=et&ref=/	C:/My%20Web%20Sites/AndreNetwork/www.gropia.net/main/indexa180.php	(from https://www.gropia.net/)
10:23:52	0/0	---MC-	302	error ('Found')	text/html	date:Sun,%2030%20Jul%202023%2007:23:52%20GMT	https://www.gropia.net/main/index.php?language=fi&ref=/	C:/My%20Web%20Sites/AndreNetwork/www.gropia.net/main/indexf98b.php	(from https://www.gropia.net/)
10:23:53	0/0	---MC-	302	error ('Found')	text/html	date:Sun,%2030%20Jul%202023%2007:23:53%20GMT	https://www.gropia.net/main/index.php?language=hu&ref=/	C:/My%20Web%20Sites/AndreNetwork/www.gropia.net/main/index4c40.php	(from https://www.gropia.net/)
10:23:53	0/0	---MC-	302	error ('Found')	text/html	date:Sun,%2030%20Jul%202023%2007:23:53%20GMT	https://www.gropia.net/main/index.php?language=it&ref=/	C:/My%20Web%20Sites/AndreNetwork/www.gropia.net/main/indexdc7c.php	(from https://www.gropia.net/)
10:23:53	0/0	---MC-	302	error ('Found')	text/html	date:Sun,%2030%20Jul%202023%2007:23:53%20GMT	https://www.gropia.net/main/index.php?language=ja&ref=/	C:/My%20Web%20Sites/AndreNetwork/www.gropia.net/main/index26c2.php	(from https://www.gropia.net/)
10:23:54	0/0	---MC-	302	error ('Found')	text/html	date:Sun,%2030%20Jul%202023%2007:23:54%20GMT	https://www.gropia.net/main/index.php?language=nl&ref=/	C:/My%20Web%20Sites/AndreNetwork/www.gropia.net/main/index53f2.php	(from https://www.gropia.net/)
10:23:54	0/0	---MC-	302	error ('Found')	text/html	date:Sun,%2030%20Jul%202023%2007:23:54%20GMT	https://www.gropia.net/main/index.php?language=zh&ref=/	C:/My%20Web%20Sites/AndreNetwork/www.gropia.net/main/index9f9c.php	(from https://www.gropia.net/)
10:23:55	0/0	---MC-	302	error ('Found')	text/html	date:Sun,%2030%20Jul%202023%2007:23:55%20GMT	https://www.gropia.net/main/index.php?currency=TRY&ref=/	C:/My%20Web%20Sites/AndreNetwork/www.gropia.net/main/indexe358.php	(from https://www.gropia.net/)
10:23:55	0/0	---MC-	302	error ('Found')	text/html	date:Sun,%2030%20Jul%202023%2007:23:55%20GMT	https://www.gropia.net/main/index.php?currency=USD&ref=/	C:/My%20Web%20Sites/AndreNetwork/www.gropia.net/main/index554b.php	(from https://www.gropia.net/)
10:23:55	0/0	---MC-	302	error ('Found')	text/html	date:Sun,%2030%20Jul%202023%2007:23:55%20GMT	https://www.gropia.net/main/index.php?currency=GBP&ref=/	C:/My%20Web%20Sites/AndreNetwork/www.gropia.net/main/index836d.php	(from https://www.gropia.net/)
10:23:55	0/0	---MC-	302	error ('Found')	text/html	date:Sun,%2030%20Jul%202023%2007:23:55%20GMT	https://www.gropia.net/main/index.php?currency=EUR&ref=/	C:/My%20Web%20Sites/AndreNetwork/www.gropia.net/main/index4b61.php	(from https://www.gropia.net/)
10:23:56	0/0	---MC-	302	error ('Found')	text/html	date:Sun,%2030%20Jul%202023%2007:23:55%20GMT	https://www.gropia.net/main/index.php?currency=AUD&ref=/	C:/My%20Web%20Sites/AndreNetwork/www.gropia.net/main/index7682.php	(from https://www.gropia.net/)
10:23:56	0/0	---MC-	302	error ('Found')	text/html	date:Sun,%2030%20Jul%202023%2007:23:56%20GMT	https://www.gropia.net/main/index.php?currency=BRL&ref=/	C:/My%20Web%20Sites/AndreNetwork/www.gropia.net/main/index9236.php	(from https://www.gropia.net/)
10:23:56	0/0	---MC-	302	error ('Found')	text/html	date:Sun,%2030%20Jul%202023%2007:23:56%20GMT	https://www.gropia.net/main/index.php?currency=CAD&ref=/	C:/My%20Web%20Sites/AndreNetwork/www.gropia.net/main/index0755.php	(from https://www.gropia.net/)
10:23:56	0/0	---MC-	302	error ('Found')	text/html	date:Sun,%2030%20Jul%202023%2007:23:56%20GMT	https://www.gropia.net/main/index.php?currency=CNY&ref=/	C:/My%20Web%20Sites/AndreNetwork/www.gropia.net/main/index8d8f.php	(from https://www.gropia.net/)
10:23:57	0/0	---MC-	302	error ('Found')	text/html	date:Sun,%2030%20Jul%202023%2007:23:56%20GMT	https://www.gropia.net/main/index.php?currency=CZK&ref=/	C:/My%20Web%20Sites/AndreNetwork/www.gropia.net/main/indexc1b2.php	(from https://www.gropia.net/)
10:23:57	0/0	---MC-	302	error ('Found')	text/html	date:Sun,%2030%20Jul%202023%2007:23:57%20GMT	https://www.gropia.net/main/index.php?currency=DKK&ref=/	C:/My%20Web%20Sites/AndreNetwork/www.gropia.net/main/indexe479.php	(from https://www.gropia.net/)
10:23:57	0/0	---MC-	302	error ('Found')	text/html	date:Sun,%2030%20Jul%202023%2007:23:57%20GMT	https://www.gropia.net/main/index.php?currency=INR&ref=/	C:/My%20Web%20Sites/AndreNetwork/www.gropia.net/main/index9b29.php	(from https://www.gropia.net/)
10:23:57	0/0	---MC-	302	error ('Found')	text/html	date:Sun,%2030%20Jul%202023%2007:23:57%20GMT	https://www.gropia.net/main/index.php?currency=JPY&ref=/	C:/My%20Web%20Sites/AndreNetwork/www.gropia.net/main/index65e7.php	(from https://www.gropia.net/)
10:23:57	0/0	---MC-	302	error ('Found')	text/html	date:Sun,%2030%20Jul%202023%2007:23:57%20GMT	https://www.gropia.net/main/index.php?currency=NOK&ref=/	C:/My%20Web%20Sites/AndreNetwork/www.gropia.net/main/index63da.php	(from https://www.gropia.net/)
10:23:58	0/0	---MC-	302	error ('Found')	text/html	date:Sun,%2030%20Jul%202023%2007:23:58%20GMT	https://www.gropia.net/main/index.php?currency=NZD&ref=/	C:/My%20Web%20Sites/AndreNetwork/www.gropia.net/main/index1ba5.php	(from https://www.gropia.net/)
10:23:58	0/0	---MC-	302	error ('Found')	text/html	date:Sun,%2030%20Jul%202023%2007:23:58%20GMT	https://www.gropia.net/main/index.php?currency=PLN&ref=/	C:/My%20Web%20Sites/AndreNetwork/www.gropia.net/main/index37b3.php	(from https://www.gropia.net/)
10:23:58	0/0	---MC-	302	error ('Found')	text/html	date:Sun,%2030%20Jul%202023%2007:23:58%20GMT	https://www.gropia.net/main/index.php?currency=RUB&ref=/	C:/My%20Web%20Sites/AndreNetwork/www.gropia.net/main/index7df5.php	(from https://www.gropia.net/)
10:23:58	0/0	---MC-	302	error ('Found')	text/html	date:Sun,%2030%20Jul%202023%2007:23:58%20GMT	https://www.gropia.net/main/index.php?currency=SEK&ref=/	C:/My%20Web%20Sites/AndreNetwork/www.gropia.net/main/index6207.php	(from https://www.gropia.net/)
10:23:59	0/0	---MC-	302	error ('Found')	text/html	date:Sun,%2030%20Jul%202023%2007:23:58%20GMT	https://www.gropia.net/main/index.php?currency=VND&ref=/	C:/My%20Web%20Sites/AndreNetwork/www.gropia.net/main/index283b.php	(from https://www.gropia.net/)
10:23:59	89501/89501	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-15d9d%22	https://code.jquery.com/jquery-3.6.0.min.js	C:/My%20Web%20Sites/AndreNetwork/code.jquery.com/jquery-3.6.0.min.js	(from https://www.gropia.net/)
10:23:59	80927/80927	---M-Z	200	added ('OK')	application/javascript	etag:%226499e7b4-5475%22	https://cdnjs.cloudflare.com/ajax/libs/twitter-bootstrap/4.5.2/js/bootstrap.bundle.min.js	C:/My%20Web%20Sites/AndreNetwork/cdnjs.cloudflare.com/ajax/libs/twitter-bootstrap/4.5.2/js/bootstrap.bundle.min.js	(from https://www.gropia.net/)
10:24:00	62210/62210	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2016%20Jul%202023%2016:18:41%20GMT	https://www.gropia.net/main/themes/default/theme/assets/libraries/sweatalert2/sweatalert2.js	C:/My%20Web%20Sites/AndreNetwork/www.gropia.net/main/themes/default/theme/assets/libraries/sweatalert2/sweatalert2.js	(from https://www.gropia.net/)
10:24:00	44342/44342	---M-Z	200	added ('OK')	application/javascript	etag:%226494c7bb-2c64%22	https://cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/owl.carousel.min.js	C:/My%20Web%20Sites/AndreNetwork/cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/owl.carousel.min.js	(from https://www.gropia.net/)
10:24:00	23364/23364	---M-Z	200	added ('OK')	application/javascript	etag:W/%225b44-gBf4sYaQd9tyhXPxykaEoAr2lGI%22	https://cdn.jsdelivr.net/particles.js/2.0.0/particles.min.js	C:/My%20Web%20Sites/AndreNetwork/cdn.jsdelivr.net/particles.js/2.0.0/particles.min.js	(from https://www.gropia.net/)
10:24:00	15516/15516	---M-Z	200	added ('OK')	application/javascript	etag:W/%22629271f2-3c9c%22	https://kvlsrg.github.io/jquery-custom-select/dist/js/jquery.custom-select.js?v=c7dbdaef2018c30ecd3def36676dd2d5cf3f7a22	C:/My%20Web%20Sites/AndreNetwork/kvlsrg.github.io/jquery-custom-select/dist/js/jquery.custom-selectbbd7.js	(from https://www.gropia.net/)
10:24:01	73163/73163	---M-Z	200	added ('OK')	application/javascript	etag:W/%2211dcb-beEOdKmS/KFegD2RDRMPgmYxy4Y%22	https://cdn.jsdelivr.net/npm/select2@4.1.0-rc.0/dist/js/select2.min.js	C:/My%20Web%20Sites/AndreNetwork/cdn.jsdelivr.net/npm/select2@4.1.0-rc.0/dist/js/select2.min.js	(from https://www.gropia.net/)
10:24:01	21233/21233	---M-Z	200	added ('OK')	application/javascript	etag:W/%2252f1-MTeJyg4xtlR4TbuosPg/Nk+Gg7Q%22	https://cdn.jsdelivr.net/npm/popper.js@1.16.1/dist/umd/popper.min.js	C:/My%20Web%20Sites/AndreNetwork/cdn.jsdelivr.net/npm/popper.js@1.16.1/dist/umd/popper.min.js	(from https://www.gropia.net/)
10:24:01	10031/10031	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2016%20Jul%202023%2016:18:41%20GMT	https://www.gropia.net/main/themes/default/theme/assets/js/edit.js?v=6130	C:/My%20Web%20Sites/AndreNetwork/www.gropia.net/main/themes/default/theme/assets/js/edit91c4.js	(from https://www.gropia.net/)
10:24:02	8851/8851	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2016%20Jul%202023%2016:18:41%20GMT	https://www.gropia.net/main/themes/default/theme/assets/js/main.js?v=6130	C:/My%20Web%20Sites/AndreNetwork/www.gropia.net/main/themes/default/theme/assets/js/main91c4.js	(from https://www.gropia.net/)
10:24:02	10899/10899	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2016%20Jul%202023%2016:18:41%20GMT	https://www.gropia.net/main/includes/packages/layouts/shopping-cart/js/edit.js?v=6130	C:/My%20Web%20Sites/AndreNetwork/www.gropia.net/main/includes/packages/layouts/shopping-cart/js/edit91c4.js	(from https://www.gropia.net/)
10:24:02	105536/105536	---M--	200	added ('OK')	font/woff2	date:Sun,%2016%20Jul%202023%2016:18:41%20GMT	https://www.gropia.net/main/themes/default/theme/assets/fonts/fontawesome/fa-brands-400.woff2	C:/My%20Web%20Sites/AndreNetwork/www.gropia.net/main/themes/default/theme/assets/fonts/fontawesome/fa-brands-400.woff2	(from https://www.gropia.net/main/themes/default/theme/assets/css/fontawesome-all.min.css?v=6130)
10:24:03	23940/23940	---M--	200	added ('OK')	font/woff2	date:Sun,%2016%20Jul%202023%2016:18:41%20GMT	https://www.gropia.net/main/themes/default/theme/assets/fonts/fontawesome/fa-regular-400.woff2	C:/My%20Web%20Sites/AndreNetwork/www.gropia.net/main/themes/default/theme/assets/fonts/fontawesome/fa-regular-400.woff2	(from https://www.gropia.net/main/themes/default/theme/assets/css/fontawesome-all.min.css?v=6130)
10:24:03	181852/181852	---MCZ	200	added ('OK')	font/ttf	date:Sun,%2016%20Jul%202023%2016:18:41%20GMT	https://www.gropia.net/main/themes/default/theme/assets/fonts/fontawesome/fa-brands-400.ttf	C:/My%20Web%20Sites/AndreNetwork/www.gropia.net/main/themes/default/theme/assets/fonts/fontawesome/fa-brands-400.ttf	(from https://www.gropia.net/main/themes/default/theme/assets/css/fontawesome-all.min.css?v=6130)
10:24:03	60520/60520	---MCZ	200	added ('OK')	font/ttf	date:Sun,%2016%20Jul%202023%2016:18:41%20GMT	https://www.gropia.net/main/themes/default/theme/assets/fonts/fontawesome/fa-regular-400.ttf	C:/My%20Web%20Sites/AndreNetwork/www.gropia.net/main/themes/default/theme/assets/fonts/fontawesome/fa-regular-400.ttf	(from https://www.gropia.net/main/themes/default/theme/assets/css/fontawesome-all.min.css?v=6130)
10:24:03	154228/154228	---M--	200	added ('OK')	font/woff2	date:Sun,%2016%20Jul%202023%2016:18:41%20GMT	https://www.gropia.net/main/themes/default/theme/assets/fonts/fontawesome/fa-solid-900.woff2	C:/My%20Web%20Sites/AndreNetwork/www.gropia.net/main/themes/default/theme/assets/fonts/fontawesome/fa-solid-900.woff2	(from https://www.gropia.net/main/themes/default/theme/assets/css/fontawesome-all.min.css?v=6130)
